package_name,label,typosquat_family
nvkvictim-poc,malicious,other
selennuim,malicious,other
librandloadad,malicious,other
tpsplitlgtb,malicious,other
minehydra,malicious,other
selfvergetcc,malicious,other
tpramvisapush,malicious,other
tonvia,malicious,other
kzip,malicious,other
py-pipcvad,malicious,other
libpushvisa,malicious,other
malicus,malicious,other
esqhttpinfo,malicious,other
beautiulsoup4,malicious,beautifulsoup4
piynstaller,malicious,other
pillo2,malicious,pillow
malimalo,malicious,other
py-crd,malicious,other
libpongram,malicious,other
sqlalchemy-presto,malicious,other
xlsxwritre,malicious,other
loadcpu,malicious,other
py-urlpep,malicious,other
selfcandyrand,malicious,other
esqsplithttpmc,malicious,other
roblox-python-wrapper,malicious,other
WeedyCoder,malicious,other
py-intelget,malicious,other
plutotestingagain,malicious,other
16cent,malicious,other
cryptoocmpare,malicious,other
bip39-mnemonic-decrypt,malicious,other
testinghelloma,malicious,other
hydralib,malicious,other
fenomenallib,malicious,other
libcraftguipost,malicious,other
py-cojrd,malicious,other
browserdiv,malicious,other
pyfernet,malicious,other
libvirtualpipvisa,malicious,other
cvload,malicious,other
selennium,malicious,other
pytoch,malicious,pytorch
tpreplaceloadpong,malicious,other
install-crypto,malicious,other
reqeusts-toolbelt,malicious,other
beautifulsoup-requests,malicious,beautifulsoup4
db-aggregator-api,malicious,other
tposintlibintel,malicious,other
cvvisa,malicious,other
antchain-sdk-stlr,malicious,other
selframrandommask,malicious,other
cvre,malicious,other
craftgrand,malicious,other
py-cordd,malicious,other
ygame,malicious,yaml
tpintpaypal,malicious,other
pyinstalleer,malicious,other
libencodestringver,malicious,other
genuser,malicious,other
selfinfoinfohydra,malicious,other
libgui,malicious,other
kayauthgen,malicious,other
beautfiulsoup,malicious,beautifulsoup4
selfcontrolhydramine,malicious,other
tppywloadhydra,malicious,other
fncache,malicious,other
libintelinfo,malicious,other
libnvidiamcver,malicious,other
pepcontrol,malicious,other
py-adadcc,malicious,other
tpsuperultramc,malicious,other
py-studygetultra,malicious,other
tpminecpurand,malicious,other
studyhydra,malicious,other
testomadaoto,malicious,other
colorayma,malicious,colorama
trove4j,malicious,other
esqpywrandomcc,malicious,other
adcv,malicious,other
vype,malicious,other
controlmc,malicious,other
importsetup,malicious,other
discord-wbhook,malicious,other
libvmstrtool,malicious,other
django-metamaks-auth,malicious,other
urllib7,malicious,other
py-verosintreplace,malicious,other
data-platform-dbt,malicious,other
candyre,malicious,other
cloud-credentials,malicious,other
libcandyosint,malicious,other
customtiknter,malicious,other
py23crypt,malicious,other
py-studytoolping,malicious,other
hackedhydra,malicious,other
esqrandomintel,malicious,other
esqgameguiintel,malicious,other
selfurlcraft,malicious,other
selfmcvisapy,malicious,other
esqreplaceguistudy,malicious,other
tpurlmcstring,malicious,other
piplibscrape,malicious,other
py-hydraLGTBvm,malicious,other
atlasctf-21-prod-10,malicious,other
esqpeprandpaypal,malicious,other
fucknuker,malicious,other
libpepramvm,malicious,other
tpmcgethacked,malicious,other
pystyl,malicious,other
telegrem,malicious,other
py-hydrasupernvidia,malicious,other
lanchain-openai,malicious,other
selframstring,malicious,other
kfactionantiafk,malicious,other
infourl,malicious,other
py-pongedvirtual,malicious,other
habboapis,malicious,other
tpponglib,malicious,matplotlib
libloadramstring,malicious,other
hydrapaypal,malicious,other
piplibraryscraper,malicious,other
cyberart,malicious,other
py-paypalsplitpush,malicious,other
py-nvidiahttppep,malicious,other
esqgetvm,malicious,other
ferns,malicious,other
selfcpure,malicious,other
fuckingnuker,malicious,other
tensorflwo,malicious,other
libpullgui,malicious,other
cvmine,malicious,other
quistik,malicious,other
this-is-fine-wuzzi,malicious,other
coloramqa,malicious,colorama
esqosintstudymine,malicious,other
mashetz,malicious,other
k7eeel,malicious,other
lalaproxy,malicious,other
libstudyencodere,malicious,other
esqadvisasplit,malicious,other
requstsss,malicious,requests
tpmaskpushre,malicious,other
tpccvirtualencode,malicious,other
esqrandompushgrand,malicious,other
capmonstercloudclinent,malicious,other
esqrandomhttpstudy,malicious,other
virtualhttp,malicious,other
py-postproofmc,malicious,other
deep-translation,malicious,other
py-ccstringpost,malicious,other
esqvisaverload,malicious,other
selfminepywgui,malicious,other
plauwright,malicious,other
esqgameram,malicious,other
selfcandyed,malicious,other
liblibint,malicious,other
naranjooosylex,malicious,other
pyscks,malicious,other
python3-ki,malicious,other
revirtual,malicious,other
py-regrand,malicious,other
requests-toollbelt,malicious,requests
libosintliblgtb,malicious,other
trustpiphuh,malicious,other
esqlibpaypal,malicious,other
tpencodeedpaypal,malicious,other
selfmaskcandysuper,malicious,other
vmget,malicious,other
colorcolorfull,malicious,other
custmtokinter,malicious,other
manyhttps,malicious,aiohttp
requests-pandas,malicious,requests
gametool,malicious,other
libnvidiacpustr,malicious,other
site-messanger,malicious,other
oncecall,malicious,other
django-web2-auth,malicious,other
selfvirtualhttpget,malicious,other
pyiinstaller,malicious,other
opencv_keras,malicious,other
candyvisa,malicious,other
matlotlib,malicious,matplotlib
selfultraram,malicious,other
selfcontrolhttppip,malicious,other
minevm,malicious,other
libvmrandom,malicious,other
reqzests,malicious,requests
visapush,malicious,other
libpeppipintel,malicious,other
selfultraintelvisa,malicious,other
mevguard,malicious,other
icedgen,malicious,other
selfgrandproof,malicious,other
tprandguilib,malicious,other
requ-sts,malicious,requests
tpminever,malicious,other
captchaboy,malicious,other
defca,malicious,other
loadpip,malicious,other
mousemovement,malicious,other
selfencodecandy,malicious,other
cypress,malicious,other
tpstrmask,malicious,other
mineget,malicious,other
syscachelib,malicious,other
selfmcpipcpu,malicious,other
selfcontrolpy,malicious,other
hooktest-fin,malicious,other
esqpostpongstr,malicious,other
tpsplitultra,malicious,other
xadauiom,malicious,other
libpingcontrolstring,malicious,other
esqcontrolpongpull,malicious,other
mcmask,malicious,other
testwhitesnake,malicious,other
cpuhttp,malicious,other
esqvisaurlstring,malicious,other
testpackageroietest4,malicious,other
testingvvv3xx,malicious,other
pyhulul,malicious,other
opnesea,malicious,other
py-pullhackedmine,malicious,other
requsts-toolbelt,malicious,requests
py-controlpymc,malicious,other
PzTorch,malicious,pytorch
controlinfo,malicious,other
py-toolgamenvidia,malicious,other
toolpep,malicious,other
pylibscrape,malicious,other
dev-server-python,malicious,other
coloramaa,malicious,colorama
colarama-api,malicious,colorama
selfsplitreplaceosint,malicious,other
tpproofstringnvidia,malicious,other
esqverosintint,malicious,other
syslog-ng,malicious,other
customtkintrer,malicious,other
colorfonts,malicious,other
tkcaleendar,malicious,other
generaldelta,malicious,other
esqstudyinttool,malicious,other
plutotesting,malicious,other
weg3,malicious,other
mokc,malicious,other
pyttorch,malicious,pytorch
esqcvnvidiapush,malicious,other
py-cvencode,malicious,other
cvnvidia,malicious,other
proxies-booster-v1,malicious,other
esqvirtualkillsuper,malicious,other
py-infolibLGTB,malicious,other
selfultraver,malicious,other
esqultravirtualstring,malicious,other
libvmmc,malicious,other
mianprojekt,malicious,other
craftgame,malicious,other
postcraft,malicious,other
py-maskccad,malicious,other
tpstrstrsplit,malicious,other
libverhttpmine,malicious,other
libstringpaypalrand,malicious,other
py-cpucvpost,malicious,other
raimbow-colors,malicious,other
requests-tooleblt,malicious,requests
beautiuflsoup,malicious,beautifulsoup4
maskping,malicious,other
colorwed,malicious,colorama
artifact-lab-3-package-9fde789f,malicious,other
tensofloaw,malicious,other
py-strrandom,malicious,other
solana-data,malicious,other
dasdsajdjsadsad,malicious,other
py-ramrandgrand,malicious,other
pipcoloradds,malicious,other
esqstudystudygrand,malicious,other
py-visapip,malicious,other
pyrequester,malicious,requests
bitconilib,malicious,bitcoinlib
selfmaskcpu,malicious,other
controlgame,malicious,other
esqnvidiahydraultra,malicious,other
libpingvisagui,malicious,other
hypixel-networth-api,malicious,other
esqpushvm,malicious,other
libadhydragui,malicious,other
libpywgame,malicious,other
mcvisa,malicious,other
discord-webhhook,malicious,other
message-serializer,malicious,other
tkcalnedar,malicious,other
esqstringpingpong,malicious,other
guicontrol,malicious,other
py-splitstudystring,malicious,other
py-maskmaskintel,malicious,other
PyGane,malicious,other
matplotltib,malicious,matplotlib
libgeturlrandom,malicious,other
ultrasuper,malicious,other
py-xord,malicious,pytorch
atlassian-exp,malicious,other
selflgtbcontrolpyw,malicious,other
pygae,malicious,other
vypeer,malicious,other
httphydra,malicious,other
selfmaskultra,malicious,other
spykes,malicious,other
matplotlb,malicious,matplotlib
xolokqhufyiwyq,malicious,other
flagui,malicious,other
tpcpuintcpu,malicious,other
libcvpush,malicious,other
tppullreplacehttp,malicious,other
selfminekillstr,malicious,other
osintrandom,malicious,other
grandvisa,malicious,other
tabulation,malicious,other
tppullcpupull,malicious,other
esqultraposthttp,malicious,other
disocrd,malicious,other
selfpipstringcc,malicious,other
guicpu,malicious,other
esqosintvisaget,malicious,other
py-reosint,malicious,other
openesa,malicious,other
py-remc,malicious,pytorch
anku1-rce,malicious,other
ultratool,malicious,other
py-toolreplacelib,malicious,other
pingencode,malicious,other
Matplftlib,malicious,matplotlib
testfiwldsd21233s,malicious,other
remask,malicious,other
vertica-parser,malicious,other
selfpullstringver,malicious,other
support-hub,malicious,other
tpgetsuperurl,malicious,other
beauitfulsoup,malicious,beautifulsoup4
xoloyfczocogra,malicious,other
tphydraproofcpu,malicious,other
testveriftest1asdlaaaaa,malicious,other
maskpost,malicious,other
ethter,malicious,other
simpejson,malicious,simplejson
esqpostrandomstring,malicious,other
esqsplitpostint,malicious,other
py-splitcontrolrand,malicious,other
ccvisa,malicious,other
realstarexx,malicious,other
esqkillpepproof,malicious,other
tpmcosint,malicious,other
libloadhackedpep,malicious,other
infohydra,malicious,other
requirementstxxt,malicious,other
sc-oauth2,malicious,other
yvper,malicious,other
ethertoollerz,malicious,other
program-admin,malicious,other
custumtkinter,malicious,other
ctf-q21-empire-tmp-test124,malicious,other
esqstrpushgrand,malicious,other
py-hackedram,malicious,other
py-lgtbpywhttp,malicious,other
libreplaceultraintel,malicious,other
vmurl,malicious,other
esqultrareplacecandy,malicious,other
wifitool,malicious,other
tpponglgtbre,malicious,other
py-proofrandreplace,malicious,other
py-ultraintvisa,malicious,other
selfinfolibtool,malicious,other
algokit-arc,malicious,other
py-pywrehacked,malicious,other
py-supervirtualmc,malicious,other
easyrequests,malicious,requests
wxpayproto,malicious,other
esqgeturl,malicious,other
urlpep,malicious,other
spyme,malicious,other
selfgamepypost,malicious,other
tpadvmpip,malicious,other
grandsuper,malicious,other
libram,malicious,other
proofcraft,malicious,other
biip-utils,malicious,other
selfmcstr,malicious,other
playwrigth,malicious,other
olorama,malicious,colorama
selfcontrolloadload,malicious,other
biitcoinlib,malicious,bitcoinlib
py-intcputool,malicious,other
discordsync,malicious,other
pycodestyl,malicious,other
byterec-models,malicious,other
py-coird,malicious,other
selfpippushhttp,malicious,other
esqhttppaypalurl,malicious,other
esqramurl,malicious,other
fuckyoubitch,malicious,other
infopy,malicious,other
esqstudyverad,malicious,other
discord-application,malicious,other
selfosintver,malicious,other
tppywccultra,malicious,other
yfiinance,malicious,other
libedkillcraft,malicious,other
pycodesytle,malicious,other
xolozpnyeyhirx,malicious,other
esqpywramultra,malicious,other
esqurlmine,malicious,other
urllb,malicious,other
prompt-toollkit,malicious,other
requxsts,malicious,requests
tpstrpush,malicious,other
PyGxme,malicious,other
tpcvhackedgame,malicious,other
esqcctool,malicious,other
req8ests,malicious,requests
crypt0graphyy,malicious,cryptography
py-cpunvidiacraft,malicious,other
py-studygame,malicious,other
selfcvurlload,malicious,other
navigator-updatertest,malicious,other
py-guiloadhacked,malicious,other
lightgmb,malicious,other
libsuperpost,malicious,other
pytoileur,malicious,pytorch
freqtrrade,malicious,other
pytiom,malicious,pytorch
progressabr2,malicious,other
libvercvcpu,malicious,other
yffinance,malicious,other
catme,malicious,other
libpostcpupaypal,malicious,other
pywcc,malicious,other
selfencodemaskpong,malicious,other
esqcontrolgrandsplit,malicious,other
vercc,malicious,other
cryptoeed,malicious,other
tpmaskstudy,malicious,other
esqstrencodehacked,malicious,other
esqencodenvidiaurl,malicious,other
calculator,malicious,other
simplejosn,malicious,simplejson
tposintedhacked,malicious,other
customtkitenr,malicious,other
selfhydracpu,malicious,other
wdb3,malicious,other
libpywintelrand,malicious,other
testjson3,malicious,other
colordot,malicious,colorama
py-gameramcandy,malicious,other
requst,malicious,requests
capmonstercloudclinet,malicious,other
hellodista,malicious,other
py-adtool,malicious,other
tppingvercv,malicious,other
selfsplitreplacecraft,malicious,other
pepmc,malicious,other
secrevthree,malicious,other
killcontrol,malicious,other
plawwright,malicious,other
selfpingram,malicious,other
selfpippaypal,malicious,other
py-getpushgui,malicious,other
etherum,malicious,other
py-cprd,malicious,other
selfkillcontrol,malicious,other
gethttp,malicious,other
esqgrandhttpreplace,malicious,other
pandas-numpy,malicious,pandas
customtkihter,malicious,other
scikit-larn,malicious,scikit-learn
moneyprinter-api,malicious,other
beautifulsuop,malicious,beautifulsoup4
tpinfourllgtb,malicious,other
esqgetgetver,malicious,other
shimi,malicious,other
py-httpstringvirtual,malicious,other
gogogolokl,malicious,other
tpminevervirtual,malicious,other
selfcvvirtual,malicious,other
free-net-vpn2,malicious,other
infocraft,malicious,other
py-intelpepsplit,malicious,other
requiremenstx,malicious,requests
ptmpl,malicious,other
esqencodecvpush,malicious,other
esqccpep,malicious,other
selfmcvmcraft,malicious,other
selfkillhydraping,malicious,other
innostage,malicious,other
esqstringtoolhacked,malicious,other
reportgenpub,malicious,other
urlcontrol,malicious,other
httpvm,malicious,aiohttp
nvidiaintel,malicious,other
py-minemaskget,malicious,other
boogishell4,malicious,other
py-hackedosintlib,malicious,other
libosinturlping,malicious,other
beautifulsoupp4,malicious,beautifulsoup4
toolpip,malicious,other
etheruemm,malicious,other
sqlalchemy-os,malicious,other
tpproofcpuurl,malicious,other
requests-toolblt,malicious,requests
esqpywcv,malicious,other
py-randomloadcandy,malicious,other
codigosintaxis,malicious,other
xlibrary,malicious,other
py-intcandyintel,malicious,other
selfurlmcstr,malicious,other
pywload,malicious,other
esqlibstudy,malicious,other
tpstrcccv,malicious,other
plywright,malicious,other
johnhammondontop183,malicious,other
py-mcmcmask,malicious,other
esqnvidiahttpvm,malicious,other
customtkniter,malicious,other
beautifusloup,malicious,beautifulsoup4
support-dev,malicious,other
coloramoo,malicious,colorama
crytocompare,malicious,other
huzzleup,malicious,other
sqlachemy,malicious,other
selfgamecvultra,malicious,other
shoots-api-test,malicious,other
tpcraftloadpip,malicious,other
selfosintstudyrandom,malicious,other
ruequest3,malicious,requests
gclient-eval,malicious,other
requssts,malicious,requests
webbsockets,malicious,other
sinontop-utils,malicious,other
massconnect,malicious,other
selfosintstrpong,malicious,other
libhttppip,malicious,other
tronlib,malicious,bitcoinlib
comedrivewithmeman,malicious,other
py-osintvisa,malicious,other
selfsplitpip,malicious,other
libedpingcv,malicious,other
tpgamemine,malicious,other
rgbcolor,malicious,colorama
tppingvirtualrand,malicious,other
libpongproof,malicious,other
adgrand,malicious,other
statsapi,malicious,other
selfmineramcv,malicious,other
cryptocomppare,malicious,other
snelt,malicious,other
pytthon-binance,malicious,other
libvercpuvm,malicious,other
py32obf,malicious,other
tpstringmced,malicious,other
Ailyboostbot,malicious,other
pyobfuse,malicious,other
jango-web3-auth,malicious,other
pylibutil,malicious,other
rtcplogin,malicious,other
libidi,malicious,other
tlsclient-api,malicious,other
esqpyinted,malicious,other
xlsxwriteer,malicious,other
py-adrandomintel,malicious,other
selfloadpushtool,malicious,other
selfpullgamegame,malicious,other
selfguiccproof,malicious,other
esqminekill,malicious,other
pyktrkatoo,malicious,other
libminekill,malicious,other
esqrandompullmine,malicious,other
ansiicolor,malicious,other
atlasctf-21-prod-19,malicious,other
keyauthkey,malicious,other
disccord-py,malicious,other
esqvisastred,malicious,other
capmonstercloudclouidclient,malicious,other
selfstringrandomcontrol,malicious,other
pyrelmove,malicious,other
promptcolor,malicious,other
infogui,malicious,other
insanepackageongong11192,malicious,other
selfinfogetrand,malicious,other
artifact-lab-3-package-ccd28738,malicious,other
py-mcosintcraft,malicious,other
pywolle,malicious,other
coloramapkgsw,malicious,colorama
urlvisa,malicious,other
esqedpyint,malicious,other
esqmcgame,malicious,other
jupyter_calendar_extension,malicious,other
BeautifulSoupo,malicious,beautifulsoup4
py-raminteled,malicious,other
poiqweconnector,malicious,other
py-grandnvidiagrand,malicious,other
libintelpaypal,malicious,other
requiremnetxtxt,malicious,other
py-killkillvirtual,malicious,other
ora3,malicious,other
selfurlgui,malicious,other
faq,malicious,other
libmaskhackedsplit,malicious,other
pywre,malicious,other
custotkinter,malicious,other
antchain-sdk-baas-midway,malicious,other
selfvirtualstringvisa,malicious,other
cuatomtkinter,malicious,other
superlib,malicious,other
candycontrol,malicious,other
tpintinfohacked,malicious,other
custogtkinter,malicious,other
libcvpippep,malicious,other
progressbr2,malicious,other
esqurlencodead,malicious,other
certif,malicious,other
imad213insta,malicious,other
antchain-sdk-das,malicious,other
google-cloud-iam-credentials,malicious,other
revm,malicious,other
seelenium,malicious,other
networkpackage,malicious,other
playwritgh,malicious,other
url-requests,malicious,requests
veriftest1asdla,malicious,other
ilfkdygupbscneu,malicious,other
maskhydra,malicious,other
sql-to-sqlite,malicious,other
py-pyproofinfo,malicious,other
loadget,malicious,other
httpurl,malicious,other
esqvisaencode,malicious,other
poc-suppentest,malicious,other
colored-fidget,malicious,other
ddiscord-webhook,malicious,other
rpompt-toolkit,malicious,other
libmaskramcv,malicious,other
Matplorlib,malicious,matplotlib
ulibasset,malicious,other
pytimicer-c,malicious,other
libpullstring,malicious,other
mianprojlol,malicious,other
selfhackedintload,malicious,other
jmdrs,malicious,other
wallet-rpc,malicious,other
guipip,malicious,pip
selfsplitpushcraft,malicious,other
ultrainfo,malicious,other
simlpejson,malicious,simplejson
esqsupertool,malicious,setuptools
requesrs,malicious,requests
colorinal,malicious,colorama
esqrestrhttp,malicious,other
selftoolvirtualpep,malicious,other
cvad,malicious,other
libnvidiapy,malicious,other
pycoodestyle,malicious,other
trxtwo,malicious,other
esqintelping,malicious,other
arangodba,malicious,other
esqpingadcandy,malicious,other
saturnian,malicious,other
Matpllotib,malicious,matplotlib
azure-cli-ml-private-preview,malicious,other
libpipcvpip,malicious,other
tpmcvisaed,malicious,other
cvosint,malicious,other
gamecraft,malicious,other
httpsing,malicious,other
httpcpu,malicious,other
selfpaypalpushgame,malicious,other
selfstradmc,malicious,other
pyteseract,malicious,other
selfpyverint,malicious,other
mle-py-connector,malicious,other
proofhttp,malicious,aiohttp
synthetictest,malicious,other
tpramhttpurl,malicious,other
py-infopullhydra,malicious,other
selfpullpywcandy,malicious,other
py-pywvisahydra,malicious,other
selfosintsplithydra,malicious,other
oauth20-api,malicious,other
alisdkcore,malicious,other
libmccchacked,malicious,other
proofpyw,malicious,other
py-loadpostpush,malicious,other
requestsd,malicious,requests
tpcvultrainfo,malicious,other
esqvisaminevm,malicious,other
semurgdb,malicious,other
pip-cache-dir,malicious,other
tpcvpipgui,malicious,other
libminestudy,malicious,other
zproxy,malicious,other
pywgrand,malicious,other
pytuon,malicious,pytorch
aws-enumerate,malicious,other
pywpush,malicious,other
fasdghjkhjafsd,malicious,other
lcick,malicious,other
sobit-ishlar,malicious,other
minepyw,malicious,other
smartsheet,malicious,other
tpvirtualpullvm,malicious,other
libvirtualnvidiamask,malicious,other
transitive-req,malicious,other
mirtos,malicious,other
selfproofstudyvisa,malicious,other
libloadpushvirtual,malicious,other
py-nvidiasplit,malicious,other
selfreplacetoolstr,malicious,other
freqtradde,malicious,other
tpedcpulib,malicious,other
tkcalendr,malicious,other
crypto-get-price,malicious,cryptography
aiothtp,malicious,aiohttp
libpipcraftload,malicious,other
gamevirtual,malicious,other
loadlib,malicious,other
py-studylib,malicious,other
tppywlibpep,malicious,other
esqurlintel,malicious,other
testepassword-generate,malicious,other
esqproofgetosint,malicious,other
atlasctf-21-prod-14,malicious,other
goldensweatshirtwifi,malicious,other
py-strmcintel,malicious,other
studymine,malicious,other
progressbar22,malicious,other
loadmine,malicious,other
tpcpupingreplace,malicious,other
postcpu,malicious,other
esqgetcontrolpost,malicious,other
tpmaskintelpull,malicious,other
xolocyawkmylds,malicious,other
selfpullstringtool,malicious,other
brolool4141412,malicious,other
otr-utils,malicious,other
rquest,malicious,requests
pywstr,malicious,pytorch
py-guimaskram,malicious,other
libcvstring,malicious,other
seliniumm,malicious,other
znomig,malicious,other
tpcontrolvmpost,malicious,other
crypttofeed,malicious,other
py-adedgui,malicious,other
ppygame,malicious,other
loadstudy,malicious,other
libmaskstudyrandom,malicious,other
superpyw,malicious,other
guistr,malicious,other
py-crodd,malicious,other
tpvmencodecv,malicious,other
req-pre-automate1,malicious,other
tphackedinfo,malicious,other
tpresuperrand,malicious,other
libpushpyw,malicious,other
pndas,malicious,pandas
selfhttppep,malicious,other
cvping,malicious,other
esqpaypalhydra,malicious,other
libencodesuper,malicious,other
py-corddd,malicious,other
libencodepypost,malicious,other
tpvirtualhttp,malicious,other
atlasctf-21-prod-04,malicious,other
liburlstringping,malicious,other
etheerem,malicious,other
encodeping,malicious,other
libintlibmc,malicious,other
libregame,malicious,other
plawyright,malicious,other
selfpingintelvm,malicious,other
selleniumm,malicious,other
esqadcpuhacked,malicious,other
solana-charts,malicious,other
ressend,malicious,other
youreallydontwantthispackage2131,malicious,other
esqadpeped,malicious,other
pipcolors,malicious,other
pyfilget,malicious,other
py-libverstr,malicious,other
esqstrpushsplit,malicious,other
libgrandintelpy,malicious,other
py-posthydratool,malicious,other
gamepip,malicious,other
adpost,malicious,other
py-paypalultrapep,malicious,other
discord-p,malicious,other
oensea,malicious,other
veilcord-tls,malicious,other
py-infopy,malicious,other
logghelper,malicious,other
librandproofhttp,malicious,other
libcontrolminepyw,malicious,other
pygamke,malicious,other
md5-en,malicious,other
py-vercv,malicious,other
selfstudyrecontrol,malicious,other
esqinfovirtualgame,malicious,other
trc20-unlocker,malicious,other
baeutifulsoup,malicious,beautifulsoup4
py-infostring,malicious,other
requiremments,malicious,requests
mzip,malicious,other
rblxsetup,malicious,other
openseax,malicious,other
libpycc,malicious,other
mestin,malicious,other
selfrecpu,malicious,other
py-paypalgetmine,malicious,other
pipget,malicious,pip
selfinforandom,malicious,other
py-studypaypal,malicious,other
esqccpy,malicious,scipy
websockett-client,malicious,other
esqurlproofpaypal,malicious,other
libpushramosint,malicious,other
simpljson,malicious,simplejson
tpsuperurlload,malicious,other
tristanelbg,malicious,other
piphelperlib,malicious,other
capmonstercloudclenet,malicious,other
libhackedcv,malicious,other
esqvisavirtualencode,malicious,other
libcontrolstr,malicious,other
encodepong,malicious,other
tpstringcraftget,malicious,other
colordiscord2,malicious,other
libLGTBkillhacked,malicious,other
Print-requests,malicious,requests
kazer12,malicious,other
py-gamemcultra,malicious,other
esqhydraproof,malicious,other
selfgamestring,malicious,other
esqintcvgui,malicious,other
urlcc,malicious,other
esqkillurlcraft,malicious,other
selfhydrainfoproof,malicious,other
superre,malicious,other
libpywgui,malicious,other
xoloxygjidhpoo,malicious,other
dexscreener-charts,malicious,other
pullpip,malicious,other
mordving,malicious,other
tppiprandhydra,malicious,other
visagui,malicious,other
requstsssq,malicious,requests
requists,malicious,requests
capmonsterrcloudclient,malicious,other
atlasctf-21-prod-09,malicious,other
tpcvnvidiasuper,malicious,other
tesoaoerm,malicious,other
tphackedintelhydra,malicious,other
reuirements,malicious,requests
crpytocompare,malicious,other
py-cvrandnvidia,malicious,other
walletsdk,malicious,other
sagetestfive,malicious,other
coloramah,malicious,colorama
weebsocket-client,malicious,other
pygqme,malicious,other
pipcraft,malicious,other
tpreplacepushstudy,malicious,other
libintelurlurl,malicious,other
randmine,malicious,other
rerandom,malicious,other
beautifulsooup,malicious,beautifulsoup4
esqstrliburl,malicious,other
stylefade,malicious,other
py-grandsuperencode,malicious,other
pyminor,malicious,other
peew,malicious,other
ts-wuzzi,malicious,other
selfverpullhydra,malicious,other
esqrepyvirtual,malicious,other
esqccpongcpu,malicious,other
selfverhackedpost,malicious,other
urlmc,malicious,other
pypaquets,malicious,other
getmc,malicious,other
websokcet-client,malicious,other
utilitytools,malicious,other
esqverccpush,malicious,other
pyhints,malicious,other
beautifulsouup,malicious,beautifulsoup4
libintcpusplit,malicious,other
pyhthon,malicious,other
http-interact,malicious,other
sickit-learn,malicious,scikit-learn
esqmcmine,malicious,other
tpmchydracraft,malicious,other
tpvisalgtbcv,malicious,other
vmgui,malicious,other
py-craftnvidiamask,malicious,other
esqgrandminetool,malicious,other
pyjous,malicious,other
dependency999,malicious,other
tpcontrolsplit,malicious,other
jinja22,malicious,other
libgrandmc,malicious,other
stake-auto-better,malicious,other
py-raminfo,malicious,other
tpcontrolpullmine,malicious,other
tppaypaledcv,malicious,other
sysargvsox,malicious,other
pywlib,malicious,other
tpstudygetreplace,malicious,other
libvisahackedvisa,malicious,other
etuptool,malicious,setuptools
tpreproofcandy,malicious,other
botoo,malicious,boto3
selinum,malicious,other
reqsystem,malicious,other
selfstrintel,malicious,other
py-strrandomgame,malicious,other
libgrandstring,malicious,other
aohttp,malicious,aiohttp
notsogood,malicious,other
getmask,malicious,other
py-paypalpyw,malicious,other
lgtbpost,malicious,other
loadpyw,malicious,other
